IDP,modality,subtype,pc1_name,region,side,measurement_type,dmri_measure,t1_anatomy_group,notes,ukb_link
IDP-25020,T1,Subcortical,PC-Subcortical_vol-1,hippocampus,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right hippocampus (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25020
IDP-25021,T1,Subcortical,PC-Subcortical_vol-1,amygdala,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left amygdala (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25021
IDP-25022,T1,Subcortical,PC-Subcortical_vol-1,amygdala,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right amygdala (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25022
IDP-25023,T1,Subcortical,PC-Subcortical_vol-1,accumbens,left,Subcortical volumes (FIRST),NA,Subcortical,Volume of left accumbens (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25023
IDP-25024,T1,Subcortical,PC-Subcortical_vol-1,accumbens,right,Subcortical volumes (FIRST),NA,Subcortical,Volume of right accumbens (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25024
IDP-25025,T1,Brainstem,NA,brain stem + 4th ventricle,NA,Other T1 measurements,NA,Brainstem,Volume of brain stem + 4th ventricle (from T1 brain image),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25025
IDP-25782,T1,Gray-Cortical,PC-Cortical-1,frontal pole,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Frontal Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25782
IDP-25783,T1,Gray-Cortical,PC-Cortical-1,frontal pole,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Frontal Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25783
IDP-25784,T1,Gray-Cortical,PC-Cortical-1,insular cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Insular Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25784
IDP-25785,T1,Gray-Cortical,PC-Cortical-1,insular cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Insular Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25785
IDP-25786,T1,Gray-Cortical,PC-Cortical-1,superior frontal gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Superior Frontal Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25786
IDP-25787,T1,Gray-Cortical,PC-Cortical-1,superior frontal gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Superior Frontal Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25787
IDP-25788,T1,Gray-Cortical,PC-Cortical-1,middle frontal gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Middle Frontal Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25788
IDP-25789,T1,Gray-Cortical,PC-Cortical-1,middle frontal gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Middle Frontal Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25789
IDP-25790,T1,Gray-Cortical,PC-Cortical-1,"inferior frontal gyrus, pars triangularis",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25790
IDP-25791,T1,Gray-Cortical,PC-Cortical-1,"inferior frontal gyrus, pars triangularis",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25791
IDP-25792,T1,Gray-Cortical,PC-Cortical-1,"inferior frontal gyrus, pars opercularis",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25792
IDP-25793,T1,Gray-Cortical,PC-Cortical-1,"inferior frontal gyrus, pars opercularis",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25793
IDP-25794,T1,Gray-Cortical,PC-Cortical-1,precentral gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Precentral Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25794
IDP-25795,T1,Gray-Cortical,PC-Cortical-1,precentral gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Precentral Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25795
IDP-25796,T1,Gray-Cortical,PC-Cortical-1,temporal pole,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Temporal Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25796
IDP-25797,T1,Gray-Cortical,PC-Cortical-1,temporal pole,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Temporal Pole,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25797
IDP-25798,T1,Gray-Cortical,PC-Cortical-1,"superior temporal gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Superior Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25798
IDP-25799,T1,Gray-Cortical,PC-Cortical-1,"superior temporal gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Superior Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25799
IDP-25800,T1,Gray-Cortical,PC-Cortical-1,"superior temporal gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Superior Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25800
IDP-25801,T1,Gray-Cortical,PC-Cortical-1,"superior temporal gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Superior Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25801
IDP-25802,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Middle Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25802
IDP-25803,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Middle Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25803
IDP-25804,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Middle Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25804
IDP-25805,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Middle Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25805
IDP-25806,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, temporooccipital part",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25806
IDP-25807,T1,Gray-Cortical,PC-Cortical-1,"middle temporal gyrus, temporooccipital part",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25807
IDP-25808,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Inferior Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25808
IDP-25809,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Inferior Temporal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25809
IDP-25810,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Inferior Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25810
IDP-25811,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Inferior Temporal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25811
IDP-25812,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, temporooccipital part",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25812
IDP-25813,T1,Gray-Cortical,PC-Cortical-1,"inferior temporal gyrus, temporooccipital part",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25813
IDP-25814,T1,Gray-Cortical,PC-Cortical-1,postcentral gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Postcentral Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25814
IDP-25815,T1,Gray-Cortical,PC-Cortical-1,postcentral gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Postcentral Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25815
IDP-25816,T1,Gray-Cortical,PC-Cortical-1,superior parietal lobule,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Superior Parietal Lobule,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25816
IDP-25817,T1,Gray-Cortical,PC-Cortical-1,superior parietal lobule,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Superior Parietal Lobule,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25817
IDP-25818,T1,Gray-Cortical,PC-Cortical-1,"supramarginal gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Supramarginal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25818
IDP-25819,T1,Gray-Cortical,PC-Cortical-1,"supramarginal gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Supramarginal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25819
IDP-25820,T1,Gray-Cortical,PC-Cortical-1,"supramarginal gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Supramarginal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25820
IDP-25821,T1,Gray-Cortical,PC-Cortical-1,"supramarginal gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Supramarginal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25821
IDP-25822,T1,Gray-Cortical,PC-Cortical-1,angular gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Angular Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25822
IDP-25823,T1,Gray-Cortical,PC-Cortical-1,angular gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Angular Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25823
IDP-25824,T1,Gray-Cortical,PC-Cortical-1,"lateral occipital cortex, superior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Lateral Occipital Cortex, superior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25824
IDP-25825,T1,Gray-Cortical,PC-Cortical-1,"lateral occipital cortex, superior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Lateral Occipital Cortex, superior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25825
IDP-25826,T1,Gray-Cortical,PC-Cortical-1,"lateral occipital cortex, inferior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Lateral Occipital Cortex, inferior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25826
IDP-25827,T1,Gray-Cortical,PC-Cortical-1,"lateral occipital cortex, inferior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Lateral Occipital Cortex, inferior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25827
IDP-25828,T1,Gray-Cortical,PC-Cortical-1,intracalcarine cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Intracalcarine Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25828
IDP-25829,T1,Gray-Cortical,PC-Cortical-1,intracalcarine cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Intracalcarine Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25829
IDP-25830,T1,Gray-Cortical,PC-Cortical-1,frontal medial cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Frontal Medial Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25830
IDP-25831,T1,Gray-Cortical,PC-Cortical-1,frontal medial cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Frontal Medial Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25831
IDP-25832,T1,Gray-Cortical,PC-Cortical-1,juxtapositional lobule cortex (formerly supplementary motor cortex),left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25832
IDP-25833,T1,Gray-Cortical,PC-Cortical-1,juxtapositional lobule cortex (formerly supplementary motor cortex),right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25833
IDP-25834,T1,Gray-Cortical,PC-Cortical-1,subcallosal cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Subcallosal Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25834
IDP-25835,T1,Gray-Cortical,PC-Cortical-1,subcallosal cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Subcallosal Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25835
IDP-25836,T1,Gray-Cortical,PC-Cortical-1,paracingulate gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Paracingulate Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25836
IDP-25837,T1,Gray-Cortical,PC-Cortical-1,paracingulate gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Paracingulate Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25837
IDP-25838,T1,Gray-Cortical,PC-Cortical-1,"cingulate gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Cingulate Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25838
IDP-25839,T1,Gray-Cortical,PC-Cortical-1,"cingulate gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Cingulate Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25839
IDP-25840,T1,Gray-Cortical,PC-Cortical-1,"cingulate gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Cingulate Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25840
IDP-25841,T1,Gray-Cortical,PC-Cortical-1,"cingulate gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Cingulate Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25841
IDP-25842,T1,Gray-Cortical,PC-Cortical-1,precuneous cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Precuneous Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25842
IDP-25843,T1,Gray-Cortical,PC-Cortical-1,precuneous cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Precuneous Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25843
IDP-25844,T1,Gray-Cortical,PC-Cortical-1,cuneal cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Cuneal Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25844
IDP-25845,T1,Gray-Cortical,PC-Cortical-1,cuneal cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Cuneal Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25845
IDP-25846,T1,Gray-Cortical,PC-Cortical-1,frontal orbital cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Frontal Orbital Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25846
IDP-25847,T1,Gray-Cortical,PC-Cortical-1,frontal orbital cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Frontal Orbital Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25847
IDP-25848,T1,Gray-Cortical,PC-Cortical-1,"parahippocampal gyrus, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Parahippocampal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25848
IDP-25849,T1,Gray-Cortical,PC-Cortical-1,"parahippocampal gyrus, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Parahippocampal Gyrus, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25849
IDP-25850,T1,Gray-Cortical,PC-Cortical-1,"parahippocampal gyrus, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Parahippocampal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25850
IDP-25851,T1,Gray-Cortical,PC-Cortical-1,"parahippocampal gyrus, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Parahippocampal Gyrus, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25851
IDP-25852,T1,Gray-Cortical,PC-Cortical-1,lingual gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Lingual Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25852
IDP-25853,T1,Gray-Cortical,PC-Cortical-1,lingual gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Lingual Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25853
IDP-25854,T1,Gray-Cortical,PC-Cortical-1,"temporal fusiform cortex, anterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Temporal Fusiform Cortex, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25854
IDP-25855,T1,Gray-Cortical,PC-Cortical-1,"temporal fusiform cortex, anterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Temporal Fusiform Cortex, anterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25855
IDP-25856,T1,Gray-Cortical,PC-Cortical-1,"temporal fusiform cortex, posterior division",left,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Left Temporal Fusiform Cortex, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25856
IDP-25857,T1,Gray-Cortical,PC-Cortical-1,"temporal fusiform cortex, posterior division",right,Regional grey matter volumes (FAST),NA,Cortical,"Volume of grey matter in Right Temporal Fusiform Cortex, posterior division",http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25857
IDP-25858,T1,Gray-Cortical,PC-Cortical-1,temporal occipital fusiform cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Temporal Occipital Fusiform Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25858
IDP-25859,T1,Gray-Cortical,PC-Cortical-1,temporal occipital fusiform cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Temporal Occipital Fusiform Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25859
IDP-25860,T1,Gray-Cortical,PC-Cortical-1,occipital fusiform gyrus,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Occipital Fusiform Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25860
IDP-25861,T1,Gray-Cortical,PC-Cortical-1,occipital fusiform gyrus,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Occipital Fusiform Gyrus,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25861
IDP-25862,T1,Gray-Cortical,PC-Cortical-1,frontal operculum cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Frontal Operculum Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25862
IDP-25863,T1,Gray-Cortical,PC-Cortical-1,frontal operculum cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Frontal Operculum Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25863
IDP-25864,T1,Gray-Cortical,PC-Cortical-1,central opercular cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Central Opercular Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25864
IDP-25865,T1,Gray-Cortical,PC-Cortical-1,central opercular cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Central Opercular Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25865
IDP-25866,T1,Gray-Cortical,PC-Cortical-1,parietal operculum cortex,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Parietal Operculum Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25866
IDP-25867,T1,Gray-Cortical,PC-Cortical-1,parietal operculum cortex,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Parietal Operculum Cortex,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25867
IDP-25868,T1,Gray-Cortical,PC-Cortical-1,planum polare,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Planum Polare,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25868
IDP-25869,T1,Gray-Cortical,PC-Cortical-1,planum polare,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Planum Polare,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25869
IDP-25870,T1,Gray-Cortical,PC-Cortical-1,heschl's gyrus (includes h1 and h2),left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25870
IDP-25871,T1,Gray-Cortical,PC-Cortical-1,heschl's gyrus (includes h1 and h2),right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2),http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25871
IDP-25872,T1,Gray-Cortical,PC-Cortical-1,planum temporale,left,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Left Planum Temporale,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25872
IDP-25873,T1,Gray-Cortical,PC-Cortical-1,planum temporale,right,Regional grey matter volumes (FAST),NA,Cortical,Volume of grey matter in Right Planum Temporale,http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25873
